"offer.date","IPO.name","Ticker","CUSIP","ADR.(2=ADR)","VC","Dual","Post-issue.shares","Internet","CRSP.Perm","Founding","Rollup","X13","X14"
"19770512","AMERICAN CLIPPER","ACLP","02514710","1","0","0",".","0","12678",1973,".",NA,NA
"19770616","HOP-IN FOOD STORES","HOPN","43933610","1","0","0",".","0","42490",1966,".",NA,NA
"19770621","GEOSOURCE","GSE","37364710","1","0","0",".","0","60089",1973,".",NA,NA
"19770622","HARPER GROUP","HARG","41345910","1","0","0",".","0","41014",1961,".",NA,NA
"19770629","DELOREAN MOTOR CORPORA",NA,NA,".",".",".","-9","0",".",1975,"0",NA,NA
"19770727","TPC COMMUNICATION","TPCC","87261520","1","0","0",".","0","74385",1970,".",NA,NA
"19770824","UTILITY VERIFICATION",NA,NA,"1","0","0",".","0",".",1977,".",NA,NA
"19770914","TRI-AMERICAN CORPORATI",NA,"89531410","1","0","0",".","0","77148",1961,".",NA,NA
"19771005","NEW ENGLAND BUSINESS SERVICE","NEBS",NA,"1","1","0",".","0","57286",1955,".",NA,NA
"19771011","CENTURY 21 REAL ESTATE","CNTY","15669610","1","0","0",".","0","22358",1971,".",NA,NA
"19771123","PAIN CONTROL CENTERS",NA,"69562110","1","0","0",".","0","60901",1976,".",NA,NA
"19771214","JLG INDUSTRIES","JLG","46621010","1","0","0",".","0","46149",1969,".",NA,NA
"19771214","TANDEM COMPUTERS","TDM","87537010","1","1","0",".","0","74617",1974,".",NA,NA
"19771221","TELENET",NA,"87990310","1","1","0",".","0","75300",1977,".",NA,NA
"19780411","SUNTEC SYSTMS","SUNT","86787310","1","0","0",".","0","73569",1977,".",NA,NA
"19780412","FEDERAL EXPRESS CORP","FDX","31330910","1","1","0",".","0","60628",1971,".",NA,NA
"19780425","EMPLOYEE BENEFITS","EBIM","29216410","1","0","0",".","0","32513",1969,".",NA,NA
"19780608","GENRAD","GEN","37244710","1","0","0",".","0","62260",1915,".",NA,NA
"19780711","PARADYNE CORP","PDY","69911310","1","1","0",".","0","60994",1969,".",NA,NA
"19780713","MOUNTAIN HIGH",NA,"62405410","1","0","0",".","0","50607",1972,".",NA,NA
"19780802","CHERRY ELECTRICAL PROD","CHER","16454110","1","0","0",".","0","23115",1953,".",NA,NA
"19780802","CULLINANE","CUL","23003210","1","1","0",".","0","64207",1968,".",NA,NA
"19780821","RANDAL DATA SYSTEMS",NA,"75225010","1","0","0",".","0","65681",1974,".",NA,NA
"19780907","EVANS & SUTHERLAND","ESCC","29909610","1","1","0",".","0","33612",1968,".",NA,NA
"19780919","NUCLEAR METALS","NUCM","67090110","1","0","0",".","0","58799",1954,".",NA,NA
"19780920","COLOR TILE","TILE","19626710","1","0","0",".","0","24716",1953,".",NA,NA
"19780921","OIL BASE","OBOI","67778510","1","0","0",".","0","59169",1946,".",NA,NA
"19780928","FLOATING POINT SYSTEM","FLP","33973410","1","1","0",".","0","63589",1970,".",NA,NA
"19781018","ROBINSON NUGENT","RNIC","77081010","1","0","0",".","0","67300",1955,".",NA,NA
"19781019","SCIENTIFIC TIME SHAR","STSC","80880210","1","0","0",".","0","68305",1969,".",NA,NA
"19781026","XIDEX","XIDX","98490010","1","1","0",".","0","83855",1969,".",NA,NA
"19781116","AVANTEK","AVAK","05349210","1","1","0",".","0","16011",1965,".",NA,NA
"19781128","ANECO REINSURANCE",NA,"03458110","1","0","0",".","0",".",1978,".",NA,NA
"19781205","COMPACT VIDEO SYSTEMS","CVSI","20426120","1","1","0",".","0","25508",1971,".",NA,NA
"19781206","L LURIA & SON","LUR","55048410","1","0","0",".","0","62316",1901,".",NA,NA
"19781213","PETROLEUM EQUIP TOOLS","PTCO","71658310","1","0","0",".","0","62360",1967,".",NA,NA
"19781214","RAMTEK","RMTK","75187410","1","1","0",".","0","65622",1971,".",NA,NA
"19781219","NATL RAILWAYS UTILIZ","NRUC","63732510","1","0","0",".","0","56646",1968,".",NA,NA
"19790124","AUTO-TROL TECHNOLOGY","ATTC","05275410","1","1","0",".","0","15820",1962,".",NA,NA
"19790124","BANK OF NEW HAVEN","BNHB","05591810","1","0","0",".","0","85746",1978,".",NA,NA
"19790130","PICCADILLY CAFETERIAS","PICC","71956710","1","0","0",".","0","62907",1944,".",NA,NA
"19790215","VERBATIM","VRB","92335310","1","0","0",".","0","63394",1969,".",NA,NA
"19790306","BROOKWOOD HEALTH SERV.","BWHS","11472010","1","0","0",".","0","19482",1967,".",NA,NA
"19790315","OIL CITY PETROLEUM","OLCP","67786010","1","0","0",".","0","59177",1978,".",NA,NA
"19790328","WESTERN PACIFIC RR","WPRRA","95913010","1","0","0",".","0","61073",1916,".",NA,NA
"19790403","SAFETY-KLEEN","SK","78648410","1","0","0",".","0","65066",1963,".",NA,NA
"19790406","UNIT DRILLING","UDE","90921810","1","0","0",".","0","63781",1963,".",NA,NA
"19790417","TELECO OILFIELD SERV.","TLCO","87927210","1","0","0",".","0","75062",1972,".",NA,NA
"19790424","UNITED TELECOMMUNICATIONS",NA,"91302410","1","1","0",".","0","39087",1938,".",NA,NA
"19790427","AMERICAN MGMT. SYSTEMS","AMSY","02735210","1","1","0",".","0","13304",1970,".",NA,NA
"19790502","STRYKER","STRY","86366710","1","0","0",".","0","73139",1946,".",NA,NA
"19790504","BIOMED. REF. LABS","BMED","09061010","1","0","0",".","0","18076",1969,".",NA,NA
"19790504","BRAE","BRAE","10480210","1","1","0",".","0","19020",1978,".",NA,NA
"19790522","PETX PETROLEUM","PETX","69331110","1",".","0",".","0","60418",1978,".",NA,NA
"19790601","SYMBOL TECHNOLOGIES","SMBL","87150810","1","1","0",".","0","73940",1973,".",NA,NA
"19790607","ATLANTIC RESEARCH","ATRC","04881610","1","1","0",".","0","15676",1968,".",NA,NA
"19790614","TOPAZ","TPZ","89054110","1","1","0",".","0","63028",1969,".",NA,NA
"19790626","PRINTRONIX","PTNX","74257810","1","1","0",".","0","64195",1974,".",NA,NA
"19790627","NICKLOS OIL & GAS","NOGQ","65404810","1","0","0",".","0","57614",1950,".",NA,NA
"19790703","ANTENNAS FOR COMM.","AFCC","03672910","1","0","0",".","0","14454",1972,".",NA,NA
"19790717","SANDERS, RC TECH.","SNTEQ","80000810","1",".","0",".","0","68807",1975,".",NA,NA
"19790719","DEPENDABLE INSUR. GRP.","DEPG","24951810","1","0","0",".","0","29480",1972,".",NA,NA
"19790806","APPLIED SOLAR ENERGY","SOLR","03823920","1","0","0",".","0","14737",1978,".",NA,NA
"19790807","WALBAR","WBR","93114610","1","0","0",".","0","61225",1951,".",NA,NA
"19790823","UNITED PETROSEARCH",NA,"91132810","1","0","0",".","0","78888",1978,".",NA,NA
"19790828","RICHMOND TANK CAR",NA,"76536130","1","0","0",".","0","62041",1973,".",NA,NA
"19790912","SHOPSMITH","SHOP","82509810","1","0","0",".","0","70440",1972,".",NA,NA
"19790927","SPECTRADYNE","SPDY","84757110","1","1","0",".","0","72056",1971,".",NA,NA
"19791003","WESPERCORP","WP","95106010","1","1","0",".","0","64127",1975,".",NA,NA
"19791004","INFORMATICS","IMAT","45666810","1","0","0",".","0","64266",1971,".",NA,NA
"19791004","THOMPSON MEDICAL","TM","88484210","1","0","0",".","0","62754",1954,".",NA,NA
"19791009","VALLEN","VALN","91926010","1","0","0",".","0","80013",1947,".",NA,NA
"19791010","BIOMETRICS",NA,"09061610","1","0","0",".","0","18105",1978,".",NA,NA
"19791016","HAEMONETICS","HAEM","40502210","1","0","0",".","0","40716",1971,".",NA,NA
"19791016","KEVEX","KEVX","49271710","1","0","0",".","0","47555",1967,".",NA,NA
"19791017","BIO-RESPONSE","BIOR","09057520","1","1","0",".","0","18025",1972,".",NA,NA
"19791120","SPECIALIZED SYSTEMS","SSII","84748020","1","0","0",".","0","72040",1977,".",NA,NA
"19791129","LIFE INSTRUMENTS","LIFQC","53185110","1","0","0",".","0","49462",1977,".",NA,NA
"19791129","THE EXPLORATION CO.","TXCO","30213310","1","0","0",".","0","33815",1979,".",NA,NA
"19791205","ADAC LABS","ADAC","00531310","1","1","0",".","0","10752",1970,".",NA,NA
"19791206","EMPIRE OF CAROLINA","EMP","29200710","1","0","0",".","0","61540",1939,".",NA,NA
"19791206","TIE / COMMUNICATIONS","TIE","87246410","1","1","0",".","0","61866",1971,".",NA,NA
"19791212","NBI","NBI","62873510","1","1","0",".","0","63693",1973,".",NA,NA
"19791212","THOUSAND TRAILS","TRLS","88550010","1","1","0",".","0","76102",1969,".",NA,NA
"19791213","HARKEN OIL & GAS","HOGI","41255210","1","0","0",".","0","40970",1979,".",NA,NA
"19791218","TRIAD SYSTEMS","TRSC","89581810","1","0","0",".","0","77228",1972,".",NA,NA
"19791219","BIOCHEM INTERNATIONAL","BIOC","09058510","1","0","0",".","0","18060",1976,".",NA,NA
"19791220","MOXA ENERGY","MOXA","62468310","1","0","0",".","0","55432",1979,".",NA,NA
"19800130","PYRO-MAGNETICS","PYRO","74724510","0","0","0",".","0","64849",1969,"0",NA,NA
"19800213","PASSPORT TRAVEL","PPTI","70285210","0","0","0",".","0","61400",1975,"0",NA,NA
"19800228","BLOCKER ENERGY","BLKR","09368010","0","0","0",".","0","62519",1978,"0",NA,NA
"19800304","ANTHEM ELECTRONICS","ANTM","03673210","0","0","0",".","0","64397",1968,"0",NA,NA
"19800311","CADO SYSTEMS","CADO","12760410","0","1","0",".","0","20590",1973,"0",NA,NA
"19800311","SILTEC","SLTC","82727910","0","1","0",".","0","70667",1969,"0",NA,NA
"19800313","DIMIS","DMIS","25434910","0","1","0",".","0","30091",1974,"0",NA,NA
"19800313","RADIOGRAPHIC","RDCX","75040910","0","0","0",".","0","65489",1974,"0",NA,NA
"19800430","GEOKINETICS","GEOK","37291010","0","0","0",".","0","38790",1980,"0",NA,NA
"19800508","EMPIRE AIRLINES","EAIR","29159310","0","0","0",".","0","32425",1974,"0",NA,NA
"19800520","CORCOM","CORC","21835610","0","1","0",".","0","27239",1955,"0",NA,NA
"19800520","SCI-TEX","SCIXF","80861910","1","1","0",".","0","78361",1971,".",NA,NA
"19800521","Gulf Canada Ltd",NA,"40218L206","1","0","0",".","0","32491",1909,"0",NA,NA
"19800521","UP-RIGHT","UPRI","91529410","0","0","0",".","0","79696",1947,"0",NA,NA
"19800529","NITRON","NITR","65480010","1","0","0",".","0","78330",1976,".",NA,NA
"19800612","ENZO BIOCHEM","ENZO","29410010","0","0","0",".","0","33209",1976,"0",NA,NA
"19800612","INT'L CAP'L EQUIP","ICEYF","45922810","0","1","0",".","0","78303",1974,".",NA,NA
"19800617","BROCK HOTEL","BHCO","111632113","0","0","0",".","0","63482",1969,"0",NA,NA
"19800617","PARAHO DEVELOPMENT","PAHO","69915010","0","1","0",".","0","61210",1971,"0",NA,NA
"19800619","ANDREW","ANDW","03442510","0","0","0",".","0","14323",1947,"0",NA,NA
"19800619","GENERAL NUTRITION","GNCI","370471104","0","0","0",".","0","62244",1955,"0",NA,NA
"19800619","TECHNODYNE","TECK","87861210","0","0","0",".","0","66106",1980,"0",NA,NA
"19800625","MAGNUSON COMPUTER","MCSI","55972610","0","1","0",".","0","50981",1977,"0",NA,NA
"19800702","GOODY PRODUCTS","GOOD","38248610","0","0","0",".","0","39432",1933,"0",NA,NA
"19800709","TYLAN","TYLN","90216710","0","0","0",".","0","77682",1954,"0",NA,NA
"19800711","GENERAL DEFENSE","GDEF","36949110","0","0","0",".","0","63183",1974,"0",NA,NA
"19800715","TELLABS","TLAB","87966410","0","1","0",".","0","75257",1974,"0",NA,NA
"19800716","OPTIMUM HOLDING","OPTI","68390410","0","0","0",".","0","59847",1975,"0",NA,NA
"19800722","APPLICON","APPL","03814410","0","1","0",".","0","14673",1969,"0",NA,NA
"19800723","AMERICAN GASAHOL",NA,"02635010","0","0","0",".","0","41874",1980,"0",NA,NA
"19800724","ADVANCED SYSTEMS","ADVS","00754710","0","0","0",".","0","65840",1973,"0",NA,NA
"19800731","GAMMA BIOLOGICALS","GAMA","36465710","0","0","0",".","0","38157",1970,"0",NA,NA
"19800806","MONOLITHIC MEMORIES","MMIC","609836101","0","1","0",".","0","55053",1969,"0",NA,NA
"19800812","SERVICE FRACTURING","SERF","81790810","0","0","0",".","0","70114",1973,"0",NA,NA
"19800820","BANCTEC","BTEC","05978410","0","1","0",".","0","16564",1977,"0",NA,NA
"19800905","SYSTEM INDUSTRIES","SYSM","87190010","0","1","0",".","0","74123",1968,"0",NA,NA
"19800916","ISC SYSTEMS","ISCS","45013510","0","0","0",".","0","43407",1977,"0",NA,NA
"19800916","MID PACIFIC AIRLINES","MPAI","59541210","0","0","0",".","0","53824",1979,"0",NA,NA
"19800918","SAT TEL ASSOC RESOURCES","SATV","80401610","0","0","0",".","0","68930",1978,"0",NA,NA
"19800923","OXYGEN ENRICHMENT","OECO","69208010","0","0","0",".","0","60258",1974,"0",NA,NA
"19800924","EAGLE EXPLORATION","EGLE","26951010","0","0","0",".","0","31369",1979,"0",NA,NA
"19800925","INT'L POWER MACHINES","IPMC","46018410","0","1","0",".","0","62631",1967,"0",NA,NA
"19800930","TACOMA BOATBLDG","TBOT","87345210","0","0","0",".","0","62439",1947,"0",NA,NA
"19801003","BDM INTERNATIONAL","BMDI","05537810","0","0","0",".","0","63896",1979,"0",NA,NA
"19801007","AM CABLE TV","AMTV","00165010","0","0","0",".","0","10314",1974,"0",NA,NA
"19801007","TEAM","TEAM","87815510","0","0","0",".","0","65752",1973,"0",NA,NA
"19801008","KLA INSTRUMENTS","KLAC","48248010","0","1","0",".","0","46886",1975,"0",NA,NA
"19801014","GENENTECH","GENE","36871010","0","1","0",".","0","38280",1976,"0",NA,NA
"19801015","YANKEE OIL","YANK","98477710","0","1","0",".","0","63079",1977,"0",NA,NA
"19801028","XICOR","XICO","98490310","0","0","0",".","0","83863",1978,"0",NA,NA
"19801029","AMERICAN METALS","AMTS","02748710","0","0","0",".","0","13390",1968,"0",NA,NA
"19801103","NETWORK SYSTEMS","NSCO","64121710","0","1","0",".","0","57155",1974,"0",NA,NA
"19801106","HEALTH INFORMATION","HISI","42218010","0","0","0",".","0","41340",1978,"0",NA,NA
"19801106","PEOPLE EXPRESS","PEXP","70976410","1","2","0",".","0","62069",1980,"0",NA,NA
"19801112","AMPECO","AMPE","02990010","0","1","0",".","0","63431",1975,".",NA,NA
"19801113","STEIGER TRACTOR","STGR","85835910","1","2","0",".","0","72849",1969,"0",NA,NA
"19801118","Storage Equities Inc","SEQ","862110103","1","0","0",".","0","64653",1980,".",NA,NA
"19801120","SECURITY AMERICA","SAMC","81375410","0","0","0",".","0","69738",1980,"0",NA,NA
"19801121","ADVEST","AVST","00756610","0","0","0",".","0","64514",1977,"0",NA,NA
"19801126","SAXON OIL",NA,"80557510","1","0","0",".","0","68997",1968,"0",NA,NA
"19801202","MOVIE SYSTEMS","MOVS","62459510","0","0","0",".","0","55424",1975,"0",NA,NA
"19801202","NIKE","NIKE","65410610","1","0","1","17536000","0","57665",1968,"0",NA,NA
"19801202","SEA GALLEY","SEAG","81137710","0","0","0",".","0","69543",1979,"0",NA,NA
"19801203","DRECO ENERGY","DRESF","26152810","1","0","0",".","0","62535",1950,"0",NA,NA
"19801203","K-TRON","KTII","48273010","0","0","0",".","0","46931",1964,"0",NA,NA
"19801204","MIDWAY AIRLINES","MDWY","59813010","1","2","0",".","0","53939",1979,"0",NA,NA
"19801209","BSD MEDICAL","BSDM","05566310","0","0","0",".","0","16249",1978,"0",NA,NA
"19801212","Apple Computer","AAPL","03783310","1","1","0",".","0","14593",1977,"0",NA,NA
"19801215","UNIV COMMUNICATION","UCSI","91342410","0","0","0",".","0","62762",1969,"0",NA,NA
"19801216","C3","CEE","12652010","0","0","0",".","0","64725",1968,"0",NA,NA
"19801216","RATLIFF DRILLING","RTLF","75409510","0","0","0",".","0","63757",1968,"0",NA,NA
"19801217","DECA ENERGY","DCAS","24276910","0","0","0",".","0","29138",1980,"0",NA,NA
"19801217","DRILLERS","DRIL","26205210","0","0","0",".","0","63562",1980,"0",NA,NA
"19801218","BELLWETHER","BELW","07989510","0","0","0",".","0","17559",1980,"0",NA,NA
"19801218","ZENTEC","ZENT","98942810","0","1","0",".","0","84100",1973,"0",NA,NA
"19801223","DELMED","DMES","24711410","0","1","0",".","0","64215",1974,"0",NA,NA
"19801231","INTELLIGENT SYSTEMS","INTS","45815810","0","1","0",".","0","44600",1973,"0",NA,NA
"19810106","ISSC INDL SOLID ST CTL","ISSC","45030510","0","0","0",".","0","43423",1962,"0",NA,NA
"19810107","MATRIX SCIENCE","MTRX","57685010","0","1","0",".","0","51909",1960,"0",NA,NA
"19810108","NUTRI/SYSTEM","NUTR","67061110","0","0","0",".","0","64469",1976,"0",NA,NA
"19810108","PARTNERS OIL","PARO","70212510","0","0","0",".","0","61357",1980,"0",NA,NA
"19810122","DIAGNOSTIC/RETRIEVAL","DRSIA","25245610","0","0","1","1480000","0","65226",1968,"0",NA,NA
"19810127","DYSAN","DYSN","26817910","0","1","0",".","0","31131",1972,"0",NA,NA
"19810129","CHEM-TRONICS","CTRN","16353210","0","0","0",".","0","22999",1953,"0",NA,NA
"19810129","SILICON SYSTEMS","SLCN","82705810","0","1","0",".","0","70624",1972,"0",NA,NA
"19810203","ENTERPRISE RADIO","ERSN","29379510","0","1","0",".","0","33065",1980,"0",NA,NA
"19810203","VERNA","VRNA","92430010","1","2","0",".","0","63052",1975,"0",NA,NA
"19810204","SOUTH TEXAS DRILLING","SOTX","84055310","0","0","0",".","0","63335",1979,"0",NA,NA
"19810205","INTER-TEL","INTL","45837210","0","0","0",".","0","44637",1969,"0",NA,NA
"19810205","RENAL DEVICES","RDII","75990610","0","0","0",".","0","66377",1977,"0",NA,NA
"19810211","TANDON","TCOR","87537710","0","1","0",".","0","74625",1976,"0",NA,NA
"19810217","SCIENTIFIC LEASING","SCIL","80876110","0","0","0",".","0","64485",1968,"0",NA,NA
"19810218","ELECTRO-BIOLOGY","EBII","28506010","0","1","0",".","0","31975",1975,"0",NA,NA
"19810218","FUNDSNET","FNET","36086810","0","0","0",".","0","37891",1980,"0",NA,NA
"19810220","NEW YORK AIR","NYAL","64934310","0","0","0",".","0","57403",1980,"0",NA,NA
"19810224","NAHAMA & WEAGANT","NAWE","62977510","0","0","0",".","0","55969",1971,"0",NA,NA
"19810226","C-COR ELECTRONICS","CCBL","12501010","0","0","0",".","0","20125",1953,".",NA,NA
"19810226","WILLIAMS ELECTRONICS","WIEL","96990110","0","0","0",".","0","64135",1974,"0",NA,NA
"19810304","CONSOLIDATED PETROLEUM","CPII","20978010","0","0","0",".","0","26594",1978,"0",NA,NA
"19810305","AUTOCLAVE ENGINEERS","ACLV","05276010","0","1","0",".","0","15828",1946,"0",NA,NA
"19810306","CETUS","CTUS","15719910","0","0","0",".","0","22497",1971,"0",NA,NA
"19810317","DELTA DRILLING","DLTA","24783610","0","0","0",".","0","29314",1931,"0",NA,NA
"19810317","SAGE DRILLING","SAGE","78662710","0","0","0",".","0","68524",1950,"0",NA,NA
"19810318","TIMES FIBER","TFCI","88735510","0","0","0",".","0","76305",1977,"0",NA,NA
"19810319","OBJECT RECOGNITION","ORSI","67441910","0","0","0",".","0","58895",1972,"0",NA,NA
"19810324","DURALITH","DRLH","26634010","0","0","0",".","0","30905",1942,"0",NA,NA
"19810324","HEI","HEII","40416010","0","1","0",".","0","40540",1968,"0",NA,NA
"19810324","INT'L INSTITUTE (MED)","IIMS","45969510","0","0","0",".","0","45154",1980,"0",NA,NA
"19810324","TECHNOLOGY MARKETING","TMKT","87872610","0","0","0",".","0","74916",1969,"0",NA,NA
"19810325","SEI","SEIC","78411710","0","1","0",".","0","68196",1968,"0",NA,NA
"19810326","EMULEX","EMLX","29247510","0","1","0",".","0","32540",1979,"0",NA,NA
"19810326","INFOTRON SYSTEMS","INFN","45680910","0","1","0",".","0","44170",1968,"0",NA,NA
"19810326","VENTREX LABS","VTRX","92281210","0","0","0",".","0","80486",1976,"0",NA,NA
"19810401","AMERICAN FIBER OPTICS","FIBR","02590010","0","1","0",".","0","12854",1980,"0",NA,NA
"19810401","DELTA NATURAL GAS","DGAS","24774810","0","0","0",".","0","29285",1949,"0",NA,NA
"19810401","STERLING PIPE & SUPPLY","PIPE","85949010","0","0","0",".","0","72902",1976,"0",NA,NA
"19810407","INTERGRAPH","INGR","45868310","0","1","0",".","0","44792",1969,"0",NA,NA
"19810407","ULTIMATE CORPORATION","ULTC","90384810","0","0","0",".","0","63386",1978,"0",NA,NA
"19810408","EIL INSTRUMENTS","EILI","26852610","0","0","0",".","0","31203",1970,"0",NA,NA
"19810408","GERBER SYSTEMS","GSTI","37373410","0","0","0",".","0","38894",1979,"0",NA,NA
"19810408","KENCOPE ENERGY","KCOP","48854410","0","0","0",".","0","47408",1965,"0",NA,NA
"19810408","MANAGEMENT SCIENCE","MSAI","561699109","0","0","0",".","0","51204",1900,"0",NA,NA
"19810408","PRAIRIE PRODUCING","PPCO","73965910","0","0","0",".","0","65031",1964,"0",NA,NA
"19810409","EXPLORATION SURVEYS","ESIIA","30213510","1","1","1","2333334","0","63159",1979,"0",NA,NA
"19810413","INTERMAGNETICS GENERAL","INMA","45877110","0","1","0",".","0","44821",1971,"0",NA,NA
"19810414","COMPUTER MAGNETICS","CMCX","20520810","1","0","0",".","0","25946",1980,"0",NA,NA
"19810415","BIW CABLE SYSTEMS","BIWC","05547510","0","0","0",".","0","16206",1905,"0",NA,NA
"19810415","COMPUTER ENTRY","CESC","20509010","0","1","0",".","0","25882",1969,"0",NA,NA
"19810416","INTERTEC DATA","IDSC","46112110","0","0","0",".","0","63642",1973,"0",NA,NA
"19810416","PIZZA TIME THEATRE","CHKY","72590010","0","2","0",".","0","63213",1978,"0",NA,NA
"19810416","SILICON ELECTRO-PHYSIC","SEPI","82705310","0","0","0",".","0","70608",1975,"0",NA,NA
